username,total seen,total posted,total ratio,daily seen,daily posted,daily ratio,weekly seen,weekly posted,weekly ratio,monthly seen,monthly posted,monthly ratio,avg seen/day,avg posted/day,avg ratio,avg days
@0009ine,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@007_swezey_117,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@0313x0913,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0528_files,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0bendeozledim,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@0hour1,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0nlyk1tt3n,16,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.2162,0.0000,0.0000,74
@0ss,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@0x_outsider,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0x_ultra,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xcryptochan,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@0xdod0,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xelonmoney,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@0xf4d3,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xframer,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xfrigg,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xfust,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xheatt,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xink_,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xjannarh,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xjaynfts,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xjunebox,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xkajiang,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xmagicanec,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xmaje,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xmert_,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@0xmoon6626,3,0,0.0000,0,0,0.0000,1,0,0.0000,1,0,0.0000,0.0405,0.0000,0.0000,74
@0xnikhilchat,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@0xnoncesense,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xpepesso,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xpolygon,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xprivacypools,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@0xresearch,12,1,0.0833,1,0,0.0000,2,0,0.0000,5,1,0.2000,0.1622,0.0135,0.0833,74
@0xthanh,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@0xyetialpha,3,0,0.0000,0,0,0.0000,0,0,0.0000,3,0,0.0000,0.0405,0.0000,0.0000,74
@1000xpod,31,0,0.0000,0,0,0.0000,2,0,0.0000,13,0,0.0000,0.4189,0.0000,0.0000,74
@100_alpha,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@100milyoneuroo,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@100t_val,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@1024updates,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@108_performance,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@10minutedrill,13,0,0.0000,0,0,0.0000,1,0,0.0000,13,0,0.0000,0.1757,0.0000,0.0000,74
@10newsmelb,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@10stepscampaign,7,0,0.0000,0,0,0.0000,0,0,0.0000,7,0,0.0000,0.0946,0.0000,0.0000,74
@10xvinicius,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1109patricia,14,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1892,0.0000,0.0000,74
@11amdotclub,5,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0676,0.0000,0.0000,74
